country_code,iata,latitude,longitude,relative lat,relative long,% lat,% long,,,,,,,,,,
US,BLV,38.5452,-89.835197,9.8448,-8.735197,0.425261339,-0.200256694,556.7688294,8.053941013,,,,,,,,
US,BMI,40.47710037,-88.91590118,7.91289963,-7.81590118,0.341809919,-0.179181595,478.9086546,20.04567237,,,,,,,,
US,BNA,36.12450027,-86.67819977,12.26549973,-5.57819977,0.529827202,-0.1278817,654.3287796,49.23531249,,,,,,,,
US,BOI,43.5644,-116.223,4.8256,-35.123,0.208449244,-0.805204035,354.4831447,-336.1610958,,,,,,,,
US,BOS,42.36429977,-71.00520325,6.02570023,10.09479675,0.260289427,0.231425877,402.8500352,253.681324,,,,,,,,
US,BPT,29.95079994,-94.02069855,18.43920006,-12.92069855,0.796509722,-0.296210421,903.1435705,-46.54372937,,,,,,,,
US,BQK,31.25880051,-81.46649933,17.13119949,-0.36649933,0.740008617,-0.008402094,850.4280399,117.2192086,,,,,,,,
US,BQN,18.49489975,-67.12940216,29.89510025,13.97059784,1.291365022,0.320279639,1364.843565,304.2391144,,,,,,,,
US,BRD,46.39830017,-94.13809967,1.99169983,-13.03809967,0.08603455,-0.298901872,240.270235,-48.07516534,,,,,,,,
US,BRO,25.90679932,-97.42590332,22.48320068,-16.32590332,0.971196574,-0.374275638,1066.126403,-90.9628379,,,,,,,,
US,BRW,71.285402,-156.766008,-22.895402,-75.666008,-0.989002246,-1.734663182,-762.7390957,-865.0233506,,,,,,,,
US,BTM,45.95479965,-112.4970016,2.43520035,-31.3970016,0.10519224,-0.719784539,258.1443597,-287.5574028,,,,,,,,
US,BTR,30.533199,-91.149597,17.856801,-10.049597,0.771352095,-0.230389661,879.6715047,-9.091716942,,,,,,,,
US,BTV,44.47190094,-73.15329742,3.91809906,7.94670258,0.16924834,0.182180252,317.9087008,225.6605632,,,,,,,,
US,BUF,42.94049835,-78.73220062,5.44950165,2.36779938,0.235399639,0.054282425,379.6278635,152.8866998,,,,,,,,
US,BUR,34.20069885,-118.3590012,14.18930115,-37.2590012,0.612928775,-0.854172425,731.8625474,-364.0241101,,,,,,,,
US,BWI,39.1754,-76.668297,9.2146,4.431703,0.398038877,0.10159796,531.3702721,179.809239,,,,,,,,
US,BZN,45.77750015,-111.1529999,2.61249985,-30.0529999,0.112850965,-0.688972946,265.2899508,-270.0256062,,,,,,,,
US,CAE,33.93880081,-81.11949921,14.45119919,-0.01949921,0.624241866,-0.000447025,742.4176607,121.745643,,,,,,,,
US,CAK,40.91609955,-81.44219971,7.47390045,-0.34219971,0.322846672,-0.007845019,461.2159447,117.5361844,,,,,,,,
US,CDC,37.70100021,-113.098999,10.68899979,-31.998999,0.461727853,-0.733585488,590.7920866,-295.4101428,,,,,,,,
US,CDV,60.4917984,-145.4779968,-12.1017984,-64.3779968,-0.52275587,-1.475882549,-327.7312271,-717.7771705,,,,,,,,
US,CGI,37.22529984,-89.57080078,11.16470016,-8.47080078,0.482276465,-0.194195341,609.9639417,11.5028509,,,,,,,,
US,CHA,35.03530121,-85.20379639,13.35469879,-4.10379639,0.576876838,-0.094080614,698.2260895,68.46813054,,,,,,,,
